releasedate,price,duration_in_minutes,rating_stars_out_of_5,total_rating
2021-05-18,586.0,419,0.0,0
2020-04-07,754.0,196,5.0,3
2021-04-02,492.0,159,5.0,5
2021-09-01,234.0,44,0.0,0
2021-05-18,164.0,56,0.0,0
2021-05-04,164.0,49,0.0,0
2021-04-13,468.0,5,0.0,0
2022-01-24,38.0,10,0.0,0
2022-01-24,38.0,33,0.0,0
2022-01-24,38.0,12,0.0,0
2022-01-25,529.0,5,0.0,0
2022-01-21,32.0,36,0.0,0
2022-01-24,38.0,9,0.0,0
2022-01-24,38.0,9,0.0,0
2022-01-25,189.0,7,0.0,0
2022-01-21,32.0,11,0.0,0
2022-01-24,38.0,7,0.0,0
2022-01-21,233.0,305,0.0,0
2021-11-30,904.0,373,0.0,0
2021-11-23,469.0,338,0.0,0
2021-01-05,754.0,274,4.0,2
2021-10-07,410.0,14,0.0,0
2015-12-24,305.0,173,5.0,9
2021-01-19,258.0,15,5.0,1
2015-12-24,305.0,162,4.5,7
2008-04-11,609.0,219,4.5,3
2022-03-17,1328.0,356,0.0,0
2015-12-24,305.0,196,5.0,5
2018-09-18,234.0,164,5.0,1
2014-09-11,615.0,26,4.5,14
2018-05-22,258.0,0,4.5,13
2015-09-28,305.0,156,4.5,14
2019-01-08,585.0,129,0.0,0
2016-03-29,187.0,16,5.0,1
2016-02-02,305.0,166,5.0,3
2008-10-22,726.0,271,4.5,3
2020-05-28,645.0,607,4.5,11
2015-11-02,305.0,179,5.0,6
2022-02-15,151.0,6,0.0,0
2022-02-11,569.0,148,0.0,0
2022-02-11,569.0,143,0.0,0
2022-02-14,115.0,18,0.0,0
2022-02-11,149.0,4,0.0,0
2022-02-09,149.0,3,0.0,0
2022-02-09,149.0,5,0.0,0
2022-02-10,149.0,2,0.0,0
2022-02-09,149.0,6,0.0,0
2022-02-10,263.0,18,0.0,0
2022-02-09,149.0,3,0.0,0
2022-02-09,149.0,6,0.0,0
2022-02-10,149.0,3,0.0,0
2022-02-10,187.0,8,0.0,0
2022-02-09,149.0,3,0.0,0
2022-02-10,149.0,2,0.0,0
2022-02-09,149.0,6,0.0,0
2022-02-09,307.0,422,0.0,0
2022-02-08,32.0,7,0.0,0
2022-02-08,32.0,14,0.0,0
2022-02-08,65.0,0,0.0,0
2022-02-08,116.0,16,0.0,0
2022-02-09,149.0,4,0.0,0
2022-02-09,187.0,6,0.0,0
2022-02-09,187.0,7,0.0,0
2022-02-09,149.0,3,0.0,0
2022-02-09,187.0,6,0.0,0
2022-02-10,305.0,168,0.0,0
2022-02-08,225.0,31,0.0,0
2022-02-08,225.0,36,0.0,0
2022-02-04,959.0,931,0.0,0
2022-02-08,76.0,10,0.0,0
2022-02-08,115.0,20,0.0,0
2022-02-08,367.0,144,0.0,0
2022-02-07,192.0,225,0.0,0
2022-02-03,38.0,12,0.0,0
2022-02-09,469.0,310,0.0,0
2022-02-02,115.0,27,0.0,0
2022-01-31,38.0,21,0.0,0
2022-02-02,115.0,25,0.0,0
2022-02-02,115.0,32,0.0,0
2022-01-27,166.0,134,0.0,0
2022-02-02,115.0,34,0.0,0
2022-02-02,76.0,11,0.0,0
2022-02-01,166.0,475,0.0,0
2022-02-07,192.0,149,0.0,0
2022-02-03,452.0,33,0.0,0
2022-02-07,38.0,36,0.0,0
2022-02-03,233.0,365,0.0,0
2022-02-03,645.0,447,0.0,0
2022-02-07,38.0,10,0.0,0
2022-02-03,36.0,11,0.0,0
2022-02-07,38.0,6,0.0,0
2022-02-03,265.0,17,0.0,0
2022-02-01,653.0,247,0.0,0
2022-02-09,367.0,405,0.0,0
2022-02-04,38.0,25,0.0,0
2022-02-07,192.0,145,0.0,0
2022-02-01,192.0,162,0.0,0
2022-02-07,38.0,34,0.0,0
2022-02-01,192.0,169,0.0,0
2022-02-08,820.0,536,0.0,0
2022-02-01,515.0,508,0.0,0
2022-02-03,227.0,178,0.0,0
2022-02-08,233.0,22,0.0,0
2022-02-01,38.0,7,0.0,0
2022-02-03,410.0,496,0.0,0
2022-02-01,351.0,266,0.0,0
2022-02-01,500.0,581,0.0,0
2022-02-15,820.0,578,0.0,0
2022-02-01,445.0,153,0.0,0
2022-02-01,445.0,176,0.0,0
2022-02-03,569.0,52,0.0,0
2007-06-01,683.0,576,5.0,7
2011-04-08,333.0,164,0.0,0
2021-11-02,258.0,47,5.0,1
2021-09-28,615.0,433,4.0,1
2021-08-05,410.0,277,0.0,0
2021-09-28,1005.0,539,0.0,0
2021-11-02,445.0,172,0.0,0
2021-08-24,703.0,377,0.0,0
2021-10-01,234.0,43,0.0,0
2021-10-19,445.0,594,0.0,0
2021-09-02,323.0,341,0.0,0
2021-08-03,586.0,491,5.0,1
2021-10-14,569.0,396,0.0,0
2021-09-28,1005.0,259,4.0,1
2021-08-19,615.0,377,0.0,0
2021-09-30,615.0,592,0.0,0
2020-07-23,615.0,567,5.0,1
2022-01-31,38.0,19,0.0,0
2022-02-17,410.0,492,0.0,0
2017-09-01,305.0,221,5.0,7
2013-10-22,323.0,11,0.0,0
2009-08-11,468.0,240,5.0,8
2020-01-30,645.0,506,4.5,2
2017-09-05,305.0,180,4.5,4
2019-09-03,492.0,305,4.5,8
2017-05-10,323.0,36,5.0,1
2010-05-24,469.0,285,5.0,7
2018-12-06,569.0,378,5.0,5
2020-07-07,164.0,46,0.0,0
2020-08-04,164.0,45,4.0,1
2008-09-02,501.0,211,0.0,0
2018-01-11,322.0,444,4.5,11
2014-12-28,305.0,199,4.5,17
2016-07-01,656.0,590,5.0,11
2020-01-23,615.0,208,0.0,0
2006-08-22,301.0,41,5.0,1
2009-02-20,468.0,291,0.0,0
2021-07-20,164.0,47,0.0,0
2020-10-01,615.0,537,0.0,0
2020-03-06,284.0,27,5.0,4
2019-11-29,200.0,19,4.0,4
2003-10-24,1005.0,416,4.5,7
2010-09-23,469.0,428,5.0,7
2021-03-02,164.0,48,0.0,0
2021-02-04,615.0,225,0.0,0
2020-11-03,258.0,23,4.0,1
2021-04-22,615.0,302,5.0,1
2018-08-28,585.0,133,5.0,1
2016-05-23,305.0,161,5.0,4
2018-03-08,93.0,5,0.0,0
2013-03-22,397.0,34,0.0,0
2019-10-22,305.0,309,0.0,0
2015-09-22,305.0,176,4.5,5
2016-03-07,305.0,210,5.0,6
2022-01-12,225.0,482,0.0,0
2022-01-11,65.0,3,0.0,0
2022-01-10,501.0,317,0.0,0
2022-01-11,76.0,56,0.0,0
2022-01-11,76.0,44,0.0,0
2022-01-11,76.0,29,0.0,0
2022-01-11,76.0,51,0.0,0
2022-01-07,38.0,11,0.0,0
2022-01-12,233.0,49,0.0,0
2022-01-03,469.0,165,0.0,0
2021-12-28,703.0,389,0.0,0
2021-12-30,99.0,45,0.0,0
2021-12-30,166.0,41,0.0,0
2021-12-29,502.0,593,0.0,0
2021-12-30,99.0,414,0.0,0
2021-12-22,267.0,38,0.0,0
2022-01-03,384.0,3,0.0,0
2021-12-23,233.0,55,0.0,0
2022-01-03,384.0,11,0.0,0
2021-12-17,65.0,0,0.0,0
2021-12-20,268.0,285,0.0,0
2021-12-20,307.0,392,0.0,0
2021-12-20,307.0,461,0.0,0
2021-12-20,268.0,286,0.0,0
2021-12-15,166.0,157,0.0,0
2021-12-23,200.0,185,0.0,0
2021-12-14,65.0,10,0.0,0
2021-12-20,32.0,6,0.0,0
2021-12-15,153.0,199,0.0,0
2021-12-21,166.0,155,0.0,0
2021-12-21,65.0,4,0.0,0
2021-12-21,166.0,147,0.0,0
2021-12-22,99.0,50,0.0,0
2021-12-21,32.0,5,0.0,0
2021-12-23,200.0,244,0.0,0
2021-12-21,469.0,268,0.0,0
2022-01-06,493.0,320,0.0,0
2021-12-08,65.0,9,0.0,0
2021-12-14,267.0,179,0.0,0
2021-12-09,32.0,6,0.0,0
2021-12-09,32.0,7,0.0,0
2021-12-09,99.0,34,0.0,0
2021-12-14,703.0,350,0.0,0
2022-01-01,733.0,443,0.0,0
2022-01-01,573.0,58,0.0,0
2021-12-02,65.0,14,0.0,0
2021-12-03,434.0,188,0.0,0
2021-11-30,228.0,142,0.0,0
2022-01-13,32.0,7,0.0,0
2021-12-07,703.0,385,0.0,0
2021-12-22,263.0,284,0.0,0
2022-01-01,531.0,41,0.0,0
2021-12-01,600.0,182,0.0,0
2022-01-12,300.0,126,0.0,0
2021-11-25,384.0,137,0.0,0
2021-11-23,32.0,4,0.0,0
2021-11-25,99.0,41,0.0,0
2021-11-25,166.0,186,0.0,0
2021-11-25,65.0,49,0.0,0
2021-11-29,38.0,12,0.0,0
2021-11-23,384.0,366,0.0,0
2021-11-18,535.0,433,0.0,0
2021-11-17,968.0,440,0.0,0
2021-11-17,854.0,205,0.0,0
2021-11-18,384.0,9,0.0,0
2021-11-18,384.0,3,0.0,0
2021-11-18,384.0,3,0.0,0
2021-11-18,384.0,9,0.0,0
2022-01-04,569.0,571,0.0,0
2021-11-17,65.0,49,0.0,0
2021-11-16,99.0,33,0.0,0
2021-11-22,99.0,300,0.0,0
2021-11-17,132.0,46,0.0,0
2021-11-16,166.0,17,0.0,0
2021-11-18,166.0,133,0.0,0
2021-11-17,233.0,17,0.0,0
2021-11-16,468.0,697,0.0,0
2021-11-17,166.0,150,0.0,0
2021-11-17,132.0,46,0.0,0
2021-11-16,166.0,272,0.0,0
2021-11-18,99.0,141,0.0,0
2021-11-16,200.0,440,0.0,0
2021-11-30,468.0,1014,0.0,0
2021-12-15,367.0,140,0.0,0
2021-11-26,334.0,398,0.0,0
2022-01-04,445.0,182,0.0,0
2022-01-04,656.0,341,0.0,0
2021-11-24,401.0,250,0.0,0
2021-12-16,267.0,41,0.0,0
2022-01-11,866.0,373,0.0,0
2021-12-01,192.0,167,0.0,0
2021-12-01,192.0,127,0.0,0
2021-12-16,445.0,0,0.0,0
2021-11-16,703.0,333,0.0,0
2021-12-07,1256.0,529,0.0,0
2021-12-14,398.0,242,0.0,0
2020-08-18,32.0,10,0.0,0
2021-12-09,334.0,124,0.0,0
2022-01-04,500.0,13,0.0,0
2022-01-04,500.0,11,0.0,0
2022-01-04,500.0,8,0.0,0
2021-11-23,398.0,207,0.0,0
2022-01-06,323.0,551,0.0,0
2021-12-07,586.0,187,0.0,0
2021-12-07,492.0,203,0.0,0
2022-01-04,1005.0,407,0.0,0
2022-01-04,402.0,0,0.0,0
2021-12-07,754.0,224,0.0,0
2018-08-22,420.0,230,0.0,0
2020-09-29,586.0,430,0.0,0
2016-08-29,575.0,450,5.0,6
2021-11-12,233.0,20,0.0,0
2021-11-10,38.0,36,0.0,0
2021-11-10,38.0,39,0.0,0
2021-11-10,38.0,37,0.0,0
2021-11-10,38.0,37,0.0,0
2021-11-10,76.0,41,0.0,0
2021-11-10,38.0,33,0.0,0
2021-11-10,233.0,327,0.0,0
2021-11-10,434.0,192,0.0,0
2021-11-10,384.0,21,0.0,0
2021-11-10,384.0,20,0.0,0
2021-11-10,384.0,20,0.0,0
2018-06-26,258.0,59,5.0,5
2016-05-24,417.0,270,4.5,15
2008-08-29,468.0,311,4.5,11
2016-02-09,754.0,55,0.0,0
2022-01-21,32.0,10,0.0,0
2022-01-21,32.0,34,0.0,0
2022-01-24,38.0,23,0.0,0
2022-01-21,32.0,26,0.0,0
2022-01-21,32.0,11,0.0,0
2022-01-21,32.0,7,0.0,0
2022-01-20,266.0,310,0.0,0
2022-01-19,65.0,13,0.0,0
2022-01-19,65.0,13,0.0,0
2022-01-19,65.0,12,0.0,0
2022-01-19,65.0,13,0.0,0
2022-01-19,65.0,13,0.0,0
2022-01-19,65.0,12,0.0,0
2022-01-19,65.0,12,0.0,0
2022-01-19,38.0,35,0.0,0
2022-01-21,115.0,49,0.0,0
2022-01-19,38.0,33,0.0,0
2022-01-19,38.0,42,0.0,0
2022-01-19,38.0,10,0.0,0
2022-01-13,225.0,294,0.0,0
2022-01-17,153.0,146,0.0,0
2022-01-17,38.0,34,0.0,0
2022-01-13,190.0,251,0.0,0
2022-01-12,225.0,298,0.0,0
2022-01-14,268.0,232,0.0,0
2022-01-15,76.0,50,0.0,0
2022-01-13,32.0,38,0.0,0
2022-01-19,76.0,50,0.0,0
2022-01-20,493.0,4,0.0,0
2022-01-14,434.0,345,0.0,0
2022-01-20,569.0,304,0.0,0
2022-01-20,569.0,215,0.0,0
2022-01-18,1382.0,687,0.0,0
2022-01-25,251.0,26,0.0,0
2021-01-27,335.0,155,0.0,0
2021-03-02,656.0,229,0.0,0
2020-09-08,500.0,254,0.0,0
2020-04-09,569.0,419,5.0,3
2013-10-03,265.0,286,5.0,3
2020-01-14,305.0,192,4.5,9
2018-06-26,656.0,503,4.5,4
2020-10-08,266.0,36,5.0,1
2013-11-07,797.0,161,5.0,3
2017-01-01,586.0,472,5.0,7
2017-03-20,305.0,219,5.0,4
2018-10-16,258.0,10,5.0,5
2021-11-10,38.0,38,0.0,0
2021-11-10,38.0,40,0.0,0
2021-11-10,38.0,40,0.0,0
2021-11-10,267.0,977,0.0,0
2021-11-10,384.0,21,0.0,0
2021-11-03,417.0,151,0.0,0
2021-11-05,99.0,416,0.0,0
2021-11-03,99.0,400,0.0,0
2021-11-08,99.0,123,0.0,0
2021-11-06,379.0,155,0.0,0
2021-11-06,379.0,158,0.0,0
2021-11-01,733.0,464,0.0,0
2021-10-28,225.0,31,0.0,0
2021-10-28,166.0,33,0.0,0
2021-10-28,367.0,170,0.0,0
2021-10-26,267.0,48,0.0,0
2021-10-26,233.0,22,0.0,0
2021-10-28,267.0,49,0.0,0
2021-10-22,401.0,333,0.0,0
2021-11-01,797.0,122,0.0,0
2021-11-10,719.0,158,0.0,0
2021-10-19,1172.0,33,0.0,0
2021-10-21,300.0,158,0.0,0
2021-10-30,112.0,5,0.0,0
2021-10-30,490.0,36,0.0,0
2021-10-30,112.0,5,0.0,0
2021-10-30,112.0,5,0.0,0
2021-10-30,112.0,5,0.0,0
2021-10-30,112.0,5,0.0,0
2021-10-30,112.0,4,0.0,0
2021-10-30,112.0,5,0.0,0
2021-10-18,384.0,4,0.0,0
2021-10-29,233.0,55,0.0,0
2021-10-21,38.0,10,0.0,0
2021-10-11,115.0,55,0.0,0
2021-10-29,334.0,664,0.0,0
2021-10-27,367.0,350,0.0,0
2021-10-20,267.0,25,0.0,0
2021-10-11,47.0,38,0.0,0
2021-10-05,569.0,533,0.0,0
2021-10-05,233.0,0,0.0,0
2021-10-05,166.0,44,0.0,0
2021-10-12,478.0,329,0.0,0
2021-10-07,679.0,0,0.0,0
2021-10-15,263.0,12,0.0,0
2021-10-15,263.0,13,0.0,0
2021-10-15,263.0,11,0.0,0
2021-10-15,112.0,8,0.0,0
2021-10-08,600.0,338,0.0,0
2021-10-11,233.0,3,0.0,0
2021-10-07,187.0,9,0.0,0
2021-10-07,187.0,8,0.0,0
2021-10-01,573.0,21,0.0,0
2021-10-01,626.0,228,0.0,0
2021-10-07,187.0,8,0.0,0
2021-10-07,187.0,9,0.0,0
2021-10-07,187.0,9,0.0,0
2021-10-07,187.0,9,0.0,0
2021-10-07,187.0,7,0.0,0
2021-10-01,301.0,6,0.0,0
2021-09-29,468.0,356,0.0,0
2021-09-29,468.0,358,0.0,0
2021-10-01,263.0,22,0.0,0
2021-09-23,263.0,18,0.0,0
2021-10-01,263.0,19,0.0,0
2021-10-01,263.0,28,0.0,0
2021-10-01,263.0,7,0.0,0
2021-09-23,268.0,297,0.0,0
2021-09-23,38.0,7,0.0,0
2021-09-23,38.0,10,0.0,0
2021-09-23,38.0,7,0.0,0
2021-09-22,192.0,148,0.0,0
2021-09-20,568.0,566,0.0,0
2021-09-20,568.0,673,0.0,0
2021-09-20,568.0,696,0.0,0
2021-09-30,873.0,864,0.0,0
2021-09-16,307.0,427,0.0,0
2021-09-15,38.0,12,0.0,0
2021-09-23,234.0,433,0.0,0
2021-09-15,267.0,5,0.0,0
2021-09-29,535.0,531,0.0,0
2021-09-20,233.0,21,0.0,0
2021-09-08,38.0,23,0.0,0
2021-09-06,263.0,13,0.0,0
2021-09-03,233.0,49,0.0,0
2021-10-14,323.0,50,0.0,0
2021-09-02,281.0,242,0.0,0
2021-09-07,100.0,34,0.0,0
2021-09-06,263.0,15,0.0,0
2021-09-06,76.0,51,0.0,0
2021-09-06,76.0,57,0.0,0
2021-09-02,38.0,4,0.0,0
2021-09-01,615.0,136,0.0,0
2021-09-01,903.0,373,0.0,0
2021-09-02,379.0,154,0.0,0
2021-09-07,100.0,42,0.0,0
2021-10-28,531.0,371,0.0,0
2021-08-26,568.0,580,0.0,0
2021-11-01,531.0,351,0.0,0
2021-08-23,334.0,238,0.0,0
2021-08-23,267.0,214,0.0,0
2021-09-07,100.0,16,0.0,0
2021-11-01,192.0,138,0.0,0
2021-09-13,192.0,142,0.0,0
2021-09-27,115.0,0,0.0,0
2021-10-28,410.0,436,0.0,0
2021-08-19,575.0,266,0.0,0
2021-09-03,233.0,157,0.0,0
2021-08-19,615.0,425,0.0,0
2021-08-17,721.0,634,0.0,0
2021-08-12,903.0,366,0.0,0
2021-08-31,192.0,175,0.0,0
2021-08-10,268.0,171,0.0,0
2021-08-10,268.0,175,0.0,0
2021-08-05,493.0,324,0.0,0
2021-08-05,493.0,21,0.0,0
2021-09-07,656.0,125,0.0,0
2021-09-02,664.0,315,0.0,0
2021-09-28,569.0,331,0.0,0
2021-10-13,568.0,479,0.0,0
2021-08-17,240.0,22,0.0,0
2021-09-30,323.0,441,0.0,0
2021-08-04,378.0,17,0.0,0
2021-09-07,82.0,35,0.0,0
2021-09-23,191.0,12,0.0,0
2020-05-26,1172.0,135,0.0,0
2020-05-26,1172.0,155,0.0,0
2020-05-26,1172.0,148,0.0,0
2020-05-26,1172.0,145,0.0,0
2021-08-11,267.0,4,0.0,0
2021-08-16,38.0,16,0.0,0
2021-08-09,38.0,14,0.0,0
2021-09-01,192.0,177,0.0,0
2021-08-27,192.0,154,0.0,0
2021-08-03,192.0,171,0.0,0
2021-08-27,230.0,185,0.0,0
2021-08-31,230.0,185,0.0,0
2021-09-01,230.0,189,0.0,0
2021-08-13,307.0,562,0.0,0
2021-08-25,38.0,5,0.0,0
2021-09-01,153.0,53,0.0,0
2021-09-06,115.0,59,0.0,0
2021-09-13,115.0,4,0.0,0
2021-09-27,115.0,5,0.0,0
2021-09-20,115.0,5,0.0,0
2021-10-11,115.0,54,0.0,0
2021-10-18,115.0,0,0.0,0
2021-08-05,575.0,348,0.0,0
2021-08-26,367.0,255,0.0,0
2021-08-09,233.0,18,0.0,0
2021-08-30,233.0,173,0.0,0
2021-08-30,233.0,182,0.0,0
2020-08-10,233.0,38,0.0,0
2021-08-16,334.0,336,0.0,0
2021-08-09,300.0,137,0.0,0
2021-08-25,468.0,388,0.0,0
2021-08-25,267.0,43,0.0,0
2021-10-15,338.0,59,0.0,0
2020-05-26,1172.0,134,0.0,0
2021-09-28,531.0,234,0.0,0
2021-09-06,664.0,229,0.0,0
2021-09-02,664.0,349,0.0,0
2021-09-05,664.0,19,0.0,0
2021-09-01,664.0,227,0.0,0
2021-09-02,797.0,413,0.0,0
2021-08-05,664.0,364,0.0,0
2021-10-07,569.0,46,0.0,0
2021-09-02,569.0,32,0.0,0
2020-09-17,323.0,169,0.0,0
2021-08-10,703.0,346,0.0,0
2021-11-02,398.0,250,0.0,0
2021-10-12,398.0,210,0.0,0
2021-09-21,398.0,258,0.0,0
2021-08-31,398.0,252,0.0,0
2021-08-10,398.0,295,0.0,0
2021-09-16,323.0,545,0.0,0
2021-10-14,323.0,229,0.0,0
2021-08-03,492.0,50,0.0,0
2021-08-03,492.0,55,0.0,0
2021-09-21,586.0,380,5.0,1
2021-10-19,586.0,446,0.0,0
2021-09-21,586.0,33,0.0,0
2021-09-02,569.0,185,0.0,0
2021-08-05,645.0,636,0.0,0
2021-10-26,251.0,14,0.0,0
2021-08-17,904.0,395,0.0,0
2020-08-11,251.0,7,0.0,0
2021-08-19,410.0,10,0.0,0
2022-03-16,82.0,33,0.0,0
2022-03-16,140.0,14,0.0,0
2022-03-16,82.0,14,0.0,0
2022-03-16,105.0,6,0.0,0
2022-03-16,151.0,5,0.0,0
2022-03-14,189.0,7,0.0,0
2022-03-14,189.0,5,0.0,0
2022-03-14,189.0,6,0.0,0
